Step : 1	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
Ne1+		472.36	2.31	9.45	9.45	1.50	1.50	322.85	20.00	1.00		0.00
Mg1+		521.55	2.12	10.43	10.43	1.50	1.50	294.72	24.00	1.00		0.00
Si1+		593.85	1.81	11.88	11.88	1.50	1.50	272.86	28.00	1.00		0.00
S1+		649.45	1.65	12.99	12.99	1.50	1.50	255.23	32.00	1.00		0.00
Ca1+		752.03	1.43	15.04	15.04	1.50	1.50	228.29	40.00	1.00		0.00
Fe1+		944.44	300.00	18.89	18.89	30.00	30.00	192.94	56.00	1.00		0.00
Step : 20	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		101.64	6.31	2.03	2.03	1.50	1.50	1392.92	1.00	1.00		0.00
3He1+		177.38	5.68	3.55	3.55	1.50	1.50	804.20	3.00	1.00		0.00
He1+		204.79	5.54	4.10	4.10	1.50	1.50	696.46	4.00	1.00		0.00
C1+		365.75	3.31	7.32	7.32	1.50	1.50	402.10	12.00	1.00		0.00
O1+		427.82	2.61	8.56	8.56	1.50	1.50	348.23	16.00	1.00		0.00
N1+		398.82	2.98	7.98	7.98	1.50	1.50	372.27	14.00	1.00		0.00
Ne1+		478.34	2.25	9.57	9.57	1.50	1.50	311.47	20.00	1.00		0.00
Mg1+		528.41	2.07	10.57	10.57	1.50	1.50	284.33	24.00	1.00		0.00
Si1+		602.36	1.77	12.05	12.05	1.50	1.50	263.24	28.00	1.00		0.00
S1+		659.22	1.61	13.18	13.18	1.50	1.50	246.24	32.00	1.00		0.00
Ca1+		764.24	1.39	15.28	15.28	1.50	1.50	220.24	40.00	1.00		0.00
Fe1+		961.41	300.00	19.23	19.23	30.00	30.00	186.14	56.00	1.00		0.00
Step : 21	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		102.70	6.19	2.05	2.05	1.50	1.50	1343.81	1.00	1.00		0.00
3He1+		179.25	5.56	3.59	3.59	1.50	1.50	775.85	3.00	1.00		0.00
He1+		206.92	5.43	4.14	4.14	1.50	1.50	671.90	4.00	1.00		0.00
C1+		369.89	3.23	7.40	7.40	1.50	1.50	387.92	12.00	1.00		0.00
O1+		432.92	2.54	8.66	8.66	1.50	1.50	335.95	16.00	1.00		0.00
N1+		403.48	2.91	8.07	8.07	1.50	1.50	359.15	14.00	1.00		0.00
